1,0,2540
2,2541,2819
3,5361,1661
4,7023,3369
5,10393,99
6,10493,1910
7,12404,229
8,12634,2688
9,15323,1470
10,16794,2283
11,19078,194
12,19273,3296
13,22570,1794
14,24365,1855
15,26221,1087
16,27309,1453
17,28763,2002
18,30766,1031
19,31798,2009
20,33808,2158
21,35967,3020
22,38988,2975
23,41964,5662
24,47627,78
25,47706,1044
26,48751,567
27,49319,494
28,49814,1757
29,51572,283
30,51856,2874
31,54731,1869
32,56601,331
33,56933,1703
34,58637,918
35,59556,320
36,59877,530
37,60408,256
38,60665,1533
39,62199,251
40,62451,190
41,62642,593
42,63236,37
43,63274,5402
44,68677,4986
45,73664,593
46,74258,5069
47,79328,1158
48,80487,399
49,80887,16
50,80904,2428
51,83333,410
52,83744,1112
53,84857,427
54,85285,9078
55,94364,4287
56,98652,262
57,98915,532
58,99448,553
59,100002,1153
60,101156,1394
61,102551,953
62,103505,747
63,104253,1648
64,105902,2377
65,108280,1159
66,109440,1499
67,110940,1883
68,112824,559
69,113384,2113
70,115498,2931
71,118430,1056
72,119487,3283
73,122771,1977
74,124749,3515
75,128265,365
76,128631,422
77,129054,1718
78,130773,2695
79,133469,2002
80,135472,48
81,135521,1236
82,136758,1729
83,138488,2136
84,140625,170
85,140796,799
86,141596,657
87,142254,414
88,142669,1495
89,144165,187
90,144353,322
91,144676,92
92,144769,1610
93,146380,170
94,146551,528
95,147080,332
96,147413,373
97,147787,249
98,148037,46
99,148084,347
100,148432,1157
101,149590,571
102,150162,636
103,150799,1950
104,152750,37
105,152788,18
106,152807,3652
107,156460,1364
108,157825,2335
109,160161,2152
110,162314,572
111,162887,3037
112,165925,1471
113,167397,47
114,167445,367
115,167813,1549
116,169363,303
117,169667,789
118,170457,3605
119,174063,5902
120,179966,937
121,180904,3703
122,184608,2125
123,186734,1632
124,188367,1108
125,189476,982
126,190459,3496
127,193956,268
128,194225,211
129,194437,772
130,195210,950
131,196161,1024
132,197186,2233
133,199420,2061
134,201482,328
135,201811,3724
136,205536,1302
137,206839,172
138,207012,199
139,207212,703
140,207916,1181
141,209098,93
142,209192,1139
143,210332,382
144,210715,732
145,211448,202
146,211651,114
147,211766,3211
148,214978,199
149,215178,1315
150,216494,1462
151,217957,1758
152,219716,893
153,220610,858
154,221469,351
155,221821,28
156,221850,238
157,222089,54
158,222144,26
159,222171,21
160,222193,107
161,222301,2976
162,225278,179
163,225458,251
164,225710,1044
165,226755,245
166,227001,79
167,227081,1077
168,228159,923
169,229083,2885
170,231969,342
171,232312,1071
172,233384,2254
173,235639,1372
174,237012,253
175,237266,4037
176,241304,4213
177,245518,539
178,246058,1062
179,247121,1987
180,249109,3057
181,252167,28
182,252196,59
183,252256,56
184,252313,566
185,252880,1209
186,254090,2618
187,256709,623
188,257333,205
189,257539,1070
190,258610,1533
191,260144,1816
192,261961,192
193,262154,209
194,262364,45
195,262410,63
196,262474,64
197,262539,295
198,262835,326
199,263162,17
200,263180,1096
201,264277,3838
202,268116,6134
203,274251,27
204,274279,30
205,274310,25
206,274336,1082
207,275419,60
208,275480,264
209,275745,655
210,276401,230
211,276632,1894
212,278527,660
213,279188,178
214,279367,1464
215,280832,1762
216,282595,594
217,283190,117
218,283308,119
219,283428,50
220,283479,537
221,284017,32
222,284050,77
223,284128,106
224,284235,1646
225,285882,625
226,286508,262
227,286771,155
228,286927,393
229,287321,27
230,287349,376
231,287726,1902
232,289629,783
233,290413,41
234,290455,399
235,290855,204
236,291060,36
237,291097,90
238,291188,18
239,291207,486
240,291694,351
241,292046,198
242,292245,553
243,292799,762
244,293562,602
245,294165,168
246,294334,183
247,294518,65
248,294584,329
249,294914,173
250,295088,135
251,295224,680
252,295905,27
253,295933,828
254,296762,2134
255,298897,254
256,299152,77
257,299230,26
258,299257,531
259,299789,1655
260,301445,162
261,301608,716
262,302325,509
263,302835,1198
264,304034,1647
265,305682,2064
266,307747,934
267,308682,612
268,309295,567
269,309863,705
270,310569,132
271,310702,674
272,311377,2302
273,313680,729
274,314410,2742
275,317153,143
276,317297,75
277,317373,18
278,317392,181
279,317574,234
280,317809,82
281,317892,99
282,317992,89
283,318082,239
284,318322,63
285,318386,46
286,318433,47
287,318481,131
288,318613,17
289,318631,17
290,318649,67
291,318717,916
292,319634,1274
293,320909,712
294,321622,187
295,321810,17
296,321828,1041
297,322870,216
298,323087,297
299,323385,222
300,323608,1071
301,324680,460
302,325141,500
303,325642,28
304,325671,343
305,326015,545
306,326561,137
307,326699,153
308,326853,202
309,327056,386
310,327443,1265
311,328709,515
312,329225,1656
313,330882,629
314,331512,1189
315,332702,18
316,332721,533
317,333255,479
318,333735,80
319,333816,279
320,334096,1855
321,335952,490
322,336443,28
323,336472,320
324,336793,239
325,337033,128
326,337162,537
327,337700,960
328,338661,602
329,339264,1146
330,340411,51
331,340463,142
332,340606,669
333,341276,172
334,341449,2060
335,343510,38
336,343549,268
337,343818,18
338,343837,417
339,344255,148
340,344404,617
341,345022,1973
342,346996,783
343,347780,209
344,347990,294
345,348285,853
346,349139,75
347,349215,1429
348,350645,1736
349,352382,588
350,352971,314
351,353286,752
352,354039,460
353,354500,77
354,354578,1135
355,355714,186
356,355901,280
357,356182,925
358,357108,428
359,357537,215
360,357753,447
361,358201,1104
362,359306,1511
363,360818,908
364,361727,705
365,362433,63
366,362497,293
367,362791,36
368,362828,505
369,363334,159
370,363494,424
371,363919,403
372,364323,17
373,364341,17
374,364359,1084
375,365444,18
376,365463,1163
377,366627,1020
378,367648,95
379,367744,611
380,368356,1257
381,369614,637
382,370252,162
383,370415,25
384,370441,458
385,370900,1617
386,372518,25
387,372544,151
388,372696,98
389,372795,142
390,372938,341
391,373280,45
392,373326,25
393,373352,455
394,373808,35
395,373844,658
396,374503,2405
397,376909,542
398,377452,235
399,377688,979
400,378668,17
401,378686,58
402,378745,130
403,378876,458
404,379335,27
405,379363,265
406,379629,468
407,380098,1565
408,381664,726
409,382391,698
410,383090,118
411,383209,261
412,383471,115
413,383587,259
414,383847,2748
415,386596,304
416,386901,41
417,386943,701
418,387645,162
419,387808,1653
420,389462,491
421,389954,302
422,390257,757
423,391015,718
424,391734,93
425,391828,733
426,392562,418
427,392981,27
428,393009,1567
429,394577,36
430,394614,543
431,395158,173
432,395332,625
433,395958,19
434,395978,1055
435,397034,497
436,397532,167
437,397700,137
438,397838,443
439,398282,231
440,398514,827
441,399342,621
442,399964,89
443,400054,533
444,400588,1665
445,402254,50
446,402305,109
447,402415,819
448,403235,571
449,403807,133
450,403941,26
451,403968,291
452,404260,657
453,404918,190
454,405109,424
455,405534,274
456,405809,1546
457,407356,221
458,407578,994
459,408573,499
460,409073,1135
461,410209,954
462,411164,1064
463,412229,168
464,412398,917
465,413316,64
466,413381,1132
467,414514,439
468,414954,750
469,415705,1852
470,417558,551
471,418110,214
472,418325,888
473,419214,272
474,419487,1400
475,420888,932
476,421821,18
477,421840,308
478,422149,65
479,422215,284
480,422500,823
481,423324,1048
482,424373,1711
483,426085,55
484,426141,252
485,426394,18
486,426413,166
487,426580,46
488,426627,174
489,426802,258
490,427061,114
491,427176,888
492,428065,131
493,428197,660
494,428858,145
495,429004,408
496,429413,73
497,429487,322
498,429810,178
499,429989,442
500,430432,1566
501,431999,117
502,432117,209
503,432327,476
504,432804,73
505,432878,498
506,433377,331
507,433709,36
508,433746,802
509,434549,259
510,434809,142
511,434952,444
512,435397,37
513,435435,249
514,435685,184
515,435870,56
516,435927,101
517,436029,323
518,436353,381
519,436735,38
520,436774,856
521,437631,407
522,438039,63
523,438103,1105
524,439209,173
525,439383,832
526,440216,348
527,440565,44
528,440610,638
529,441249,79
530,441329,17
531,441347,170
532,441518,835
533,442354,729
534,443084,2730
535,445815,323
536,446139,1455
537,447595,95
538,447691,528
539,448220,154
540,448375,73
541,448449,268
542,448718,122
543,448841,1001
544,449843,189
545,450033,556
546,450590,350
547,450941,1241
548,452183,60
549,452244,514
550,452759,135
551,452895,1058
552,453954,25
553,453980,221
554,454202,52
555,454255,244
556,454500,525
557,455026,625
558,455652,53
559,455706,359
560,456066,1726
561,457793,448
562,458242,812
563,459055,149
564,459205,46
565,459252,110
566,459363,98
567,459462,232
568,459695,534
569,460230,549
570,460780,363
571,461144,555
572,461700,53
573,461754,379
574,462134,16
575,462151,343
576,462495,425
577,462921,84
578,463006,384
579,463391,59
580,463451,1463
581,464915,91
582,465007,25
583,465033,248
584,465282,495
585,465778,833
586,466612,356
587,466969,371
588,467341,199
589,467541,381
590,467923,907
591,468831,177
592,469009,20
593,469030,124
594,469155,68
595,469224,95
596,469320,1061
597,470382,413
598,470796,70
599,470867,234
600,471102,73
601,471176,65
602,471242,210
603,471453,1181
604,472635,187
605,472823,1163
606,473987,123
607,474111,46
608,474158,642
609,474801,901
610,475703,545
611,476249,174
612,476424,144
613,476569,1843
614,478413,292
615,478706,1114
616,479821,733
617,480555,94
618,480650,334
619,480985,19
620,481005,53
621,481059,17
622,481077,62
623,481140,17
624,481158,1252
625,482411,1134
626,483546,37
627,483584,139
628,483724,26
629,483751,17
630,483769,892
631,484662,17
632,484680,49
633,484730,792
634,485523,121
635,485645,1261
636,486907,1345
637,488253,18
638,488272,146
639,488419,163
640,488583,18
641,488602,18
642,488621,196
643,488818,178
644,488997,17
645,489015,69
646,489085,677
647,489763,776
648,490540,627
649,491168,64
650,491233,491
651,491725,64
652,491790,242
653,492033,266
654,492300,17
655,492318,110
656,492429,26
657,492456,17
658,492474,142
659,492617,65
660,492683,17
661,492701,26
662,492728,453
663,493182,34
664,493217,1766
665,494984,54
666,495039,539
667,495579,438
668,496018,162
669,496181,461
670,496643,829
671,497473,18
672,497492,523
673,498016,210
674,498227,297
675,498525,57
676,498583,405
677,498989,917
678,499907,568
679,500476,128
680,500605,120
681,500726,497
682,501224,287
683,501512,339
684,501852,289
685,502142,279
686,502422,90
687,502513,103
688,502617,35
689,502653,692
690,503346,138
691,503485,264
692,503750,955
693,504706,32
694,504739,28
695,504768,1847
696,506616,77
697,506694,84
698,506779,56
699,506836,496
700,507333,257
701,507591,478
702,508070,321
703,508392,561
704,508954,66
705,509021,936
706,509958,18
707,509977,1127
708,511105,278
709,511384,1040
710,512425,1384
711,513810,329
712,514140,262
713,514403,82
714,514486,175
715,514662,129
716,514792,298
717,515091,161
718,515253,106
719,515360,158
720,515519,120
721,515640,141
722,515782,16
723,515799,17
724,515817,26
725,515844,17
726,515862,26
727,515889,359
728,516249,581
729,516831,333
730,517165,256
731,517422,99
732,517522,213
733,517736,736
734,518473,364
735,518838,324
736,519163,291
737,519455,345
738,519801,187
739,519989,666
740,520656,243
741,520900,55
742,520956,330
743,521287,424
744,521712,403
745,522116,413
746,522530,245
747,522776,64
748,522841,74
749,522916,530
750,523447,144
751,523592,17
752,523610,68
753,523679,47
754,523727,396
755,524124,201
756,524326,568
757,524895,334
758,525230,116
759,525347,92
760,525440,309
761,525750,68
762,525819,22
763,525842,35
764,525878,28
765,525907,18
766,525926,1154
767,527081,323
768,527405,167
769,527573,389
770,527963,90
771,528054,143
772,528198,505
773,528704,294
774,528999,270
775,529270,164
776,529435,25
777,529461,154
778,529616,529
779,530146,261
780,530408,69
781,530478,75
782,530554,278
783,530833,280
784,531114,368
785,531483,791
786,532275,374
787,532650,55
788,532706,149
789,532856,829
790,533686,63
791,533750,31
792,533782,39
793,533822,422
794,534245,116
795,534362,160
796,534523,82
797,534606,85
798,534692,769
799,535462,277
800,535740,70
801,535811,287
802,536099,166
803,536266,63
804,536330,454
805,536785,17
806,536803,170
807,536974,311
808,537286,51
809,537338,772
810,538111,174
811,538286,123
812,538410,240
813,538651,125
814,538777,304
815,539082,114
816,539197,449
817,539647,17
818,539665,566
819,540232,39
820,540272,721
821,540994,395
822,541390,662
823,542053,75
824,542129,915
825,543045,388
826,543434,18
827,543453,83
828,543537,478
829,544016,190
830,544207,213
831,544421,21
832,544443,135
833,544579,65
834,544645,18
835,544664,260
836,544925,205
837,545131,74
838,545206,41
839,545248,132
840,545381,1016
841,546398,217
842,546616,240
843,546857,229
844,547087,242
845,547330,167
846,547498,18
847,547517,353
848,547871,94
849,547966,47
850,548014,27
851,548042,370
852,548413,18
853,548432,77
854,548510,18
855,548529,401
856,548931,74
857,549006,654
858,549661,139
859,549801,129
860,549931,77
861,550009,17
862,550027,26
863,550054,17
864,550072,26
865,550099,37
866,550137,41
867,550179,71
868,550251,75
869,550327,344
870,550672,737
871,551410,176
872,551587,46
873,551634,537
874,552172,27
875,552200,90
876,552291,507
877,552799,686
878,553486,201
879,553688,203
880,553892,155
881,554048,177
882,554226,383
883,554610,123
884,554734,404
885,555139,208
886,555348,64
887,555413,100
888,555514,55
889,555570,172
890,555743,173
891,555917,242
892,556160,28
893,556189,293
894,556483,473
895,556957,27
896,556985,18
897,557004,123
898,557128,2330
899,559459,98
900,559558,575
901,560134,593
902,560728,98
903,560827,480
904,561308,112
905,561421,261
906,561683,94
907,561778,19
908,561798,85
909,561884,68
910,561953,735
911,562689,45
912,562735,267
913,563003,457
914,563461,57
915,563519,277
916,563797,974
917,564772,320
918,565093,152
919,565246,42
920,565289,18
921,565308,41
922,565350,217
923,565568,366
924,565935,52
925,565988,334
926,566323,462
927,566786,369
928,567156,699
929,567856,100
930,567957,18
931,567976,195
932,568172,105
933,568278,100
934,568379,59
935,568439,159
936,568599,685
937,569285,261
938,569547,26
939,569574,211
940,569786,62
941,569849,205
942,570055,429
943,570485,208
944,570694,208
945,570903,26
946,570930,93
947,571024,41
948,571066,483
949,571550,124
950,571675,166
951,571842,16
952,571859,37
953,571897,39
954,571937,69
955,572007,119
956,572127,166
957,572294,367
958,572662,832
959,573495,575
960,574071,405
961,574477,186
962,574664,17
963,574682,73
964,574756,87
965,574844,45
966,574890,215
967,575106,55
968,575162,140
969,575303,324
970,575628,228
971,575857,148
972,576006,327
973,576334,191
974,576526,288
975,576815,489
976,577305,374
977,577680,724
978,578405,134
979,578540,129
980,578670,36
981,578707,187
982,578895,197
983,579093,205
984,579299,17
985,579317,57
986,579375,176
987,579552,26
988,579579,115
989,579695,19
990,579715,17
991,579733,31
992,579765,17
993,579783,644
994,580428,283
995,580712,47
996,580760,81
997,580842,106
998,580949,132
999,581082,47
1000,581130,70
1001,581201,108
1002,581310,236
1003,581547,19
1004,581567,329
1005,581897,19
1006,581917,301
1007,582219,589
1008,582809,201
1009,583011,28
1010,583040,210
1011,583251,181
1012,583433,216
1013,583650,335
1014,583986,56
1015,584043,96
1016,584140,196
1017,584337,60
1018,584398,203
